# command: target/generate_stage0_evidence.py (jackin_tui and compatibility-helper scan)
path	package	imported_item	interaction_surface
crates/jackin/src/app/workspace_cmd.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/app.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/cli.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/console/effects.rs	jackin	runtime::spawn_blocking_subscription	jackin_tui
crates/jackin/src/console/effects.rs	jackin	encode_osc52_clipboard_write	helper-via-jackin_tui
crates/jackin/src/console/services.rs	jackin	runtime::BlockingSubscription	jackin_tui
crates/jackin/src/console/services.rs	jackin	runtime::BlockingSubscription	jackin_tui
crates/jackin/src/console/tui/input/dispatch/tests.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/console/tui/input/editor/tests.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/console/tui/run.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/console/tui/run.rs	jackin	StatusFooterHover	helper-via-jackin_tui
crates/jackin/src/console.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/main.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin/src/warp.rs	jackin	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/client.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/daemon/compositor.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/daemon/input_dispatch.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/daemon/input_dispatch.rs	jackin-capsule	encode_osc52_clipboard_write	helper-via-jackin_tui
crates/jackin-capsule/src/daemon/mouse_input.rs	jackin-capsule	components::HoverTracker	jackin_tui
crates/jackin-capsule/src/daemon/mouse_input.rs	jackin-capsule	encode_osc52_clipboard_write	helper-via-jackin_tui
crates/jackin-capsule/src/daemon/ports/tests.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/daemon/session_lifecycle.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/daemon/tests.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/daemon/tests.rs	jackin-capsule	DialogBodyScroll	helper-via-jackin_tui
crates/jackin-capsule/src/daemon/tests.rs	jackin-capsule	encode_osc52_clipboard_write	helper-via-jackin_tui
crates/jackin-capsule/src/pr_context.rs	jackin-capsule	sanitize_terminal_title	jackin_tui
crates/jackin-capsule/src/session.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/session.rs	jackin-capsule	TailScroll	helper-via-jackin_tui
crates/jackin-capsule/src/tui/components/branch_context_bar/tests.rs	jackin-capsule	<qualified-reference>	jackin_tui
crates/jackin-capsule/src/tui/components/branch_context_bar.rs	jackin-capsule	components::{StatusRightChunk, StatusRightGroup, status_right_group_layout}	jackin_tui
crates/jackin-capsule/src/tui/components/branch_context_bar.rs	jackin-capsule	{display_cols, take_display_cols}	jackin_tui
crates/jackin-capsule/src/tui/components/chrome/tests.rs	jackin-capsule	<qualified-reference>	jackin_tui
