item,current_path,decision,target_owner,dependencies,tests,docs,notes
fn,crates/jackin-tui/src/animation.rs:151,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn rain_age_to_color(age: u16) -> Option<Rgb> {
warp_intro,crates/jackin-tui/src/animation.rs:305,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn warp_intro(host_screen_owned: bool) {
warp_out,crates/jackin-tui/src/animation.rs:314,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn warp_out(host_screen_owned: bool) {
warp_end_caption,crates/jackin-tui/src/animation.rs:321,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn warp_end_caption(elapsed: Option<std::time::Duration>, host_screen_owned: bool) {"
format_universe_duration,crates/jackin-tui/src/animation.rs:504,remain,jackin-project/jackin,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn format_universe_duration(d: std::time::Duration) -> String {
BG_DARK,crates/jackin-tui/src/ansi.rs:9,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const BG_DARK: &str = ""\x1b[49m"";"
RESET,crates/jackin-tui/src/ansi.rs:10,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const RESET: &str = ""\x1b[0m"";"
BOLD,crates/jackin-tui/src/ansi.rs:11,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const BOLD: &str = ""\x1b[1m"";"
"pub use jackin_core::{POINTER_DEFAULT, POINTER_HAND};",crates/jackin-tui/src/ansi.rs:14,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub use jackin_core::{POINTER_DEFAULT, POINTER_HAND};"
INVERSE,crates/jackin-tui/src/ansi.rs:15,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const INVERSE: &str = ""\x1b[7m"";"
BRAND_BANNER,crates/jackin-tui/src/ansi.rs:19,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub const BRAND_BANNER: &str = ""\n  \x1b[1m\x1b[48;2;0;255;65m\x1b[38;2;0;0;0m jackin\x1b[38;2;255;255;255m❯\x1b[38;2;0;0;0m \x1b[0m\n"";"
version_splash,crates/jackin-tui/src/ansi.rs:27,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn version_splash(version: &str) -> String {
help_banner,crates/jackin-tui/src/ansi.rs:44,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn help_banner(width: u16) -> String {
HELP_BANNER_MIN_COLS,crates/jackin-tui/src/ansi.rs:143,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const HELP_BANNER_MIN_COLS: u16 = 60;
fn,crates/jackin-tui/src/ansi.rs:146,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn rgb_fg(rgb: Rgb) -> &'static str {
fn,crates/jackin-tui/src/ansi.rs:162,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub const fn rgb_bg(rgb: Rgb) -> &'static str {
rgb_fg_dyn,crates/jackin-tui/src/ansi.rs:179,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn rgb_fg_dyn(rgb: Rgb) -> String {
rgb_bg_dyn,crates/jackin-tui/src/ansi.rs:187,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub fn rgb_bg_dyn(rgb: Rgb) -> String {
pub use jackin_core::encode_osc52_clipboard_write;,crates/jackin-tui/src/ansi.rs:193,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,pub use jackin_core::encode_osc52_clipboard_write;
emit_osc8_open,crates/jackin-tui/src/ansi.rs:197,extract,tailrocks/termrock,see dependency-tree.txt,donor nextest + render parity,dossier ch. 06/09,"pub fn emit_osc8_open(buf: &mut Vec<u8>, href: &str) {"
